Vimss ID	Upstream	Synonymous	Nonsynonymous	Downstream	EC numbers	Names of metabolites	Log2 ratio	p-value	SD test	SD ref	TF binding sites	Sigma sites	Is mapped to ortholog	Max ratio	Has TF site mutation	Vimss ID	Upstream	Synonymous	Nonsynonymous	Downstream	EC numbers	Names of metabolites	Log2 ratio	p-value	SD test	SD ref	TF binding sites	Sigma sites	Is mapped to ortholog	Max ratio
16349	0	33	0	0	"1.1.5.3,1.1.99.5"	"glycerol-alpha-phosphate , glycerol-alpha-phosphate"	"0.767274337222421 , 0.767274337222421"	"0.454055432685492 , 0.454055432685492"	"0.0434886231936481 , 0.0434886231936481"	"0.00674704781594541 , 0.00674704781594541"	" , ArcA , CRP , FNR , Fis , FlhDC , GlpR"	" , Sigma70"	yes	0.767274337	No	3474326	0	33	0	0	"1.1.5.3,1.1.99.5"	"glycerol-alpha-phosphate , glycerol-alpha-phosphate"	"-0.767274337222422 , -0.767274337222422"	"0.454055432685492 , 0.454055432685492"	"0.00674704781594541 , 0.00674704781594541"	"0.0434886231936481 , 0.0434886231936481"	" , ArcA , CRP , FNR , Fis , FlhDC , GlpR"		yes	0.767274337
17488	0	1	0	0	"1.1.5.3,1.1.99.5"	"glycerol-alpha-phosphate , glycerol-alpha-phosphate"	"0.767274337222421 , 0.767274337222421"	"0.454055432685492 , 0.454055432685492"	"0.0434886231936481 , 0.0434886231936481"	"0.00674704781594541 , 0.00674704781594541"	" , ArcA , CRP , GlpR"	" , Sigma70"	yes	0.767274337	No	3475578	0	1	0	0	"1.1.5.3,1.1.99.5"	"glycerol-alpha-phosphate , glycerol-alpha-phosphate"	"-0.767274337222422 , -0.767274337222422"	"0.454055432685492 , 0.454055432685492"	"0.00674704781594541 , 0.00674704781594541"	"0.0434886231936481 , 0.0434886231936481"	" , ArcA , CRP , GlpR"	" , Sigma24 , Sigma70"	yes	0.767274337
14148	0	14	0	0	2.7.1.39	homoserine	0.35930943	0.631998787	0.012862726	0.009302841		" , Sigma70"	yes	0.35930943	No	3471956	0	14	0	0	2.7.1.39	homoserine	-0.35930943	0.631998787	0.009302841	0.012862726		" , Sigma70"	yes	-0.35930943
16447	0	55	0	0	"1.1.1.3,4.2.1.17,5.1.2.3,1.1.1.35"	homoserine	0.35930943	0.631998787	0.012862726	0.009302841			yes	0.35930943	No	3474434	0	55	0	0	"1.1.1.3,4.2.1.17,1.1.1.35,5.1.2.3"	homoserine	-0.35930943	0.631998787	0.009302841	0.012862726	" , ArcA , FadR"	" , Sigma70"	yes	-0.35930943
18041	2	12	0	2	2.3.1.46	homoserine	0.35930943	0.631998787	0.012862726	0.009302841	" , MetJ"	" , Sigma32 , Sigma70"	yes	0.35930943	No	3476201	2	12	0	2	2.3.1.46	homoserine	-0.35930943	0.631998787	0.009302841	0.012862726	" , MetJ"		yes	-0.35930943
1937119	0	22	0	1	2.6.1.42	isoleucine	-0.045692501	0.968669513	0.029253377	0.028278035	" , IHF , IHF , Lrp"	" , Sigma70"	yes	-0.045692501	No	3475940	0	22	0	1	2.6.1.42	isoleucine	0.045692501	0.968669513	0.028278035	0.029253377	" , IHF , IHF , Lrp"	" , Sigma70"	yes	0.045692501
17666	0	2	0	1	1.1.2.3	lactic acid	1.433456345	0.41002475	0.011486019	0.00196186	" , ArcA , LldR , LldR"	" , Sigma70"	yes	1.433456345	No	3475772	0	2	0	4	1.1.2.3	lactic acid	-1.433456345	0.41002475	0.00196186	0.011486019	" , ArcA , LldR , LldR"	" , Sigma70"	yes	-1.433456345
16318	0	9	0	5	"1.1.5.4,1.1.99.16"	"malic acid , malic acid"	"0.559340751415306 , 0.559340751415306"	"0.601271781187417 , 0.601271781187417"	"0.000607322119928488 , 0.000607322119928488"	"0.000136182815874595 , 0.000136182815874595"		" , Sigma24 , Sigma70"	yes	0.559340751	No	3474291	0	9	0	0	"1.1.5.4,1.1.99.16"	"malic acid , malic acid"	"-0.559340751415306 , -0.559340751415306"	"0.601271781187417 , 0.601271781187417"	"0.000136182815874595 , 0.000136182815874595"	"0.000607322119928488 , 0.000607322119928488"			yes	0.559340751
16562	0	1	0	0	"1.1.1.39,1.1.1.40"	"malic acid , malic acid"	"0.559340751415306 , 0.559340751415306"	"0.601271781187417 , 0.601271781187417"	"0.000607322119928488 , 0.000607322119928488"	"0.000136182815874595 , 0.000136182815874595"			yes	0.559340751	No	3474534	0	1	0	0	1.1.1.40	malic acid	-0.559340751	0.601271781	0.000136183	0.000607322		" , Sigma70"	yes	-0.559340751
15184	1	16	0	0	3.5.2.3	N-carbamoylaspartate	0.369375257	0.517632889	0.000121874	1.33E-05	" , Fur , PurR"	" , Sigma70"	yes	0.369375257	No	3473132	1	16	0	0	3.5.2.3	N-carbamoylaspartate	-0.369375257	0.517632889	1.33E-05	0.000121874	" , Fur , PurR"		yes	-0.369375257
15886	1	2	0	0	3.5.1.19	nicotinamide	0.585281258	0.442370219	0.020484601	0.019124579			yes	0.585281258	Yes	3473797	1	2	0	0	"3.5.1.-,3.5.1.19"	"glutathione , nicotinamide"	"-0.86102358685119 , -0.58528125791222"	"0.398209640847857 , 0.442370218886287"	"0.0273826844129481 , 0.019124579435336"	"0.0486311964049712 , 0.0204846006947885"		" , Sigma70"	yes	0.861023587
14411	0	0	0	0	2.1.3.3	ornithine 3TMS minor	0.536819815	0.569845113	0.024088108	0.005951662	" , ArgR"	" , Sigma70"	no	0.536819815	No	3476462	0	32	0	10	2.1.3.3	ornithine 3TMS minor	-0.536819815	0.569845113	0.005951662	0.024088108	" , ArgR"	NA	yes	-0.536819815
17996	0	20	0	3	3.5.1.16	ornithine 3TMS minor	0.536819815	0.569845113	0.024088108	0.005951662	" , ArgR"	" , Sigma70"	yes	0.536819815	No	3476143	0	20	0	3	3.5.1.16	ornithine 3TMS minor	-0.536819815	0.569845113	0.005951662	0.024088108	" , ArgR"	" , Sigma32 , Sigma70"	yes	-0.536819815
18279	0	32	0	2	2.1.3.3	ornithine 3TMS minor	0.536819815	0.569845113	0.024088108	0.005951662	" , ArgR"	" , Sigma70"	yes	0.536819815	Yes	3476462	0	32	0	10	2.1.3.3	ornithine 3TMS minor	-0.536819815	0.569845113	0.005951662	0.024088108	" , ArgR"	NA	yes	-0.536819815
15069	0	0	0	1	1.3.3.1	orotic acid	2.013155745	0.36004331	0.010762884	0.002371123	" , Fis , PurR"	" , Sigma70"	yes	2.013155745	No	3473003	0	0	0	1	1.3.3.1	orotic acid	-2.013155745	0.36004331	0.002371123	0.010762884	" , Fis , PurR"		yes	-2.013155745
17703	0	18	0	0	2.4.2.10	orotic acid	2.013155745	0.36004331	0.010762884	0.002371123		" , Sigma28,Sigma32"	yes	2.013155745	Yes	3475806	0	18	0	0	2.4.2.10	orotic acid	-2.013155745	0.36004331	0.002371123	0.010762884		" , Sigma70"	yes	-2.013155745
16129	0	29	0	0	2.6.1.9	phenylalanine	0.535279635	0.625881773	0.023531445	0.017369636			yes	0.535279635	No	3474102	0	29	0	0	2.6.1.9	phenylalanine	-0.535279635	0.625881773	0.017369636	0.023531445			yes	-0.535279635
16694	1	12	0	0	"4.2.1.51,5.4.99.5"	phenylalanine	0.535279635	0.625881773	0.023531445	0.017369636		" , Sigma70"	yes	0.535279635	No	3474699	2	12	0	0	"4.2.1.51,5.4.99.5"	phenylalanine	-0.535279635	0.625881773	0.017369636	0.023531445		" , Sigma70"	yes	-0.535279635
17981	0	1	0	0	"1.11.1.6,1.11.1.7"	phenylalanine	0.535279635	0.625881773	0.023531445	0.017369636	" , FNR , Fur , OxyR"	" , Sigma70"	yes	0.535279635	No	3476128	0	1	0	0	"1.11.1.6,1.11.1.7"	phenylalanine	-0.535279635	0.625881773	0.017369636	0.023531445	" , FNR , Fur , OxyR"		yes	-0.535279635
15311	2	0	0	0	1.4.99.1	phenylpyruvic acid	-0.110040041	0.939626764	0.078668716	0.075468085	" , CRP , CRP , Lrp"	" , Sigma70"	yes	-0.110040041	No	3473239	2	0	0	0	1.4.99.1	phenylpyruvic acid	0.110040041	0.939626764	0.075468085	0.078668716	" , CRP , CRP , Lrp"	" , Sigma24 , Sigma28 , Sigma54 , Sigma70"	yes	0.110040041
16418	0	0	0	0	4.1.1.-	phenylpyruvic acid	-0.110040041	0.939626764	0.078668716	0.075468085	" , PurR"	" , Sigma70"	yes	-0.110040041	No	3474404	0	0	0	0	4.1.1.-	phenylpyruvic acid	0.110040041	0.939626764	0.075468085	0.078668716	" , PurR"	" , Sigma38,Sigma70"	yes	0.110040041
17889	1	34	3	0	4.1.1.-	phenylpyruvic acid	-0.110040041	0.939626764	0.078668716	0.075468085		" , Sigma70"	yes	-0.110040041	No	3476018	1	34	3	0	4.1.1.-	phenylpyruvic acid	0.110040041	0.939626764	0.075468085	0.078668716		" , Sigma70"	yes	0.110040041
16506	0	0	0	0	"2.4.2.-,2.4.2.1"	"phosphoric acid , adenine"	"0.688589475140754 , 1.09311558495539"	"0.218766561334181 , 0.413675160607389"	"0.0166613353448738 , 0.0407441325050659"	"0.0101369418270666 , 0.0130140122278509"	" , XapR"	" , Sigma38,Sigma70"	no	1.093115585	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14524	0	2	0	0	1.5.1.2	proline	-0.275002843	0.807992052	0.021561528	0.018159289			yes	-0.275002843	No	3472406	0	2	0	0	1.5.1.2	proline	0.275002843	0.807992052	0.018159289	0.021561528			yes	0.275002843
15138	0	79	1	0	"1.5.1.12,1.5.99.8"	proline	-0.275002843	0.807992052	0.021561528	0.018159289	" , BasR , MarA , PutA"	" , Sigma70"	yes	-0.275002843	No	3473077	1	79	1	0	"1.5.1.12,1.5.99.8"	proline	0.275002843	0.807992052	0.018159289	0.021561528	" , BasR , MarA , PutA"		yes	0.275002843
1937180	0	19	0	0	5.3.1.14	rhamnose 1	0.360535579	0.409413806	0.001069045	0.001699268	" , CRP , RhaS"	" , Sigma70"	yes	0.360535579	No	3476084	0	19	0	0	5.3.1.14	rhamnose 1	-0.360535579	0.409413806	0.001699268	0.001069045	" , CRP , RhaS"	" , Sigma70"	yes	-0.360535579
14553	0	0	0	0	"2.5.1.-,2.5.1.9,6.3.3.-"	"succinic acid , phosphoric acid"	"0.755523820441955 , 0.688589475140754"	"0.449215044053545 , 0.218766561334181"	"0.00378396524930842 , 0.0166613353448738"	"0.00245608974381594 , 0.0101369418270666"		" , Sigma32 , Sigma70"	yes	0.75552382	No	3472438	0	0	0	0	"2.5.1.-,6.3.3.-"	succinic acid	-0.75552382	0.449215044	0.00245609	0.003783965			yes	-0.75552382
18182	0	13	0	0	"1.3.1.6,1.3.99.1"	"succinic acid , succinic acid"	"0.755523820441955 , 0.755523820441955"	"0.449215044053545 , 0.449215044053545"	"0.00378396524930842 , 0.00378396524930842"	"0.00245608974381594 , 0.00245608974381594"	" , DcuR , FNR , NarL"	" , Sigma38,Sigma70"	yes	0.75552382	No	3476350	0	13	0	0	1.3.99.1	succinic acid	-0.75552382	0.449215044	0.00245609	0.003783965	" , DcuR , FNR , NarL"		yes	-0.75552382
14149	0	1	12	1	4.2.3.1	threonine	1.149147387	0.435472615	0.032994788	0.013933048		" , Sigma70"	yes	1.149147387	No	3471957	0	1	0	0	4.2.3.1	threonine	-1.149147387	0.435472615	0.013933048	0.032994788		" , Sigma70"	yes	-1.149147387
17677	0	27	0	0	1.1.1.103	threonine	1.149147387	0.435472615	0.032994788	0.013933048	" , Lrp"	" , Sigma70"	yes	1.149147387	No	3475783	0	27	0	0	1.1.1.103	threonine	-1.149147387	0.435472615	0.013933048	0.032994788	" , Lrp"		yes	-1.149147387
14475	0	1	0	0	3.5.4.1	thymine	1.04563737	0.384834321	0.028853041	0.00790537	" , Nac , PurR"	" , Sigma70"	yes	1.04563737	No	3472355	0	1	8	0	3.5.4.1	thymine	-1.04563737	0.384834321	0.00790537	0.028853041	" , Nac , PurR"		yes	-1.04563737
