""	""	""	""	""	"EC numbers"	"Names of metabolites"	"Log2 ratio"	"p-value"	"SD test"	"SD ref"	"TF binding sites"	"Sigma sites"	"Is mapped to ortholog"	"Max ratio"	"genename1"	"annotation1"	"direction1"	"nonsynonymous1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"genename2"	"annotation2"	"direction2"	"nonsynonymous2"
"17978"	"0"	"15"	"0"	"0"	"2.5.1.48"	"cystathionine 4TMS NIST"	"-0.0156694562658838"	"0.943791871045374"	"0.00187331823608576"	"0.00431835043576245"	" MetJ PhoP YjiE"	" Sigma70"	"3476125"	"-0.0156694562658838"	"metB"	"Cystathionine beta-lyases/cystathionine gamma-synthases"	"product"	"0"	"3476125"	"0"	"15"	"0"	"0"	""	""	""	""	""	""	" MetJ PhoP YjiE"	" Sigma70"	"17978"	""	"metB"	"Cystathionine beta-lyases/cystathionine gamma-synthases"	"0"	"0"
"15056"	"0"	"10"	"0"	"0"	"3.4.11.2"	"cysteine-glycine"	"-0.208870365551321"	"0.852591686410495"	"0.0481446386998969"	"0.0517019706077964"	""	""	"3472990"	"-0.208870365551321"	"pepN"	"Aminopeptidase N"	"reactant"	"0"	"3472990"	"0"	"10"	"0"	"0"	""	""	""	""	""	""	""	""	"15056"	""	"pepN"	"Aminopeptidase N"	"0"	"0"
"17508"	"0"	"14"	"0"	"0"	"2.3.2.2"	"cysteine-glycine"	"-0.208870365551321"	"0.852591686410495"	"0.0481446386998969"	"0.0517019706077964"	""	""	"3475600"	"-0.208870365551321"	"ggt"	"Gamma-glutamyltransferase"	"product"	"0"	"3475600"	"0"	"14"	"0"	"0"	""	""	""	""	""	""	""	""	"17508"	""	"ggt"	"Gamma-glutamyltransferase"	"0"	"0"
"18285"	"0"	"15"	"0"	"11"	"3.4.11.1"	"cysteine-glycine"	"-0.208870365551321"	"0.852591686410495"	"0.0481446386998969"	"0.0517019706077964"	" PepA"	" Sigma70"	"3476468"	"-0.208870365551321"	"pepA"	"Leucyl aminopeptidase"	"reactant"	"0"	"3476468"	"0"	"15"	"0"	"26"	""	""	""	""	""	""	" PepA"	" Sigma70"	"18285"	""	"pepA"	"Leucyl aminopeptidase"	"0"	"0"
"15206"	"0"	"47"	"1"	"0"	"3.1.4.-"	"phosphoethanolamine"	"0.762677676098965"	"0.326820745779441"	"0.00577529899293872"	"0.00391238487476641"	""	" Sigma70"	"3473154"	"0.762677676098965"	"rne"	"Ribonucleases G and E"	"product"	"A 749 -> V 749"	"3473154"	"0"	"47"	"1"	"0"	""	""	""	""	""	""	""	" Sigma70"	"15206"	""	"rne"	"Ribonucleases G and E"	"0"	"V 749 -> A 749"
"16539"	"0"	"14"	"0"	"0"	"4.3.1.7"	"ethanolamine"	"0.265699107054447"	"0.549770923802616"	"0.0125257291280956"	"0.0015780952175327"	""	""	"3474519"	"0.265699107054447"	"eutC"	"Ethanolamine ammonia-lyase, small subunit"	"reactant"	"0"	"3474519"	"0"	"14"	"0"	"0"	""	""	""	""	""	""	""	""	"16539"	""	"eutC"	"Ethanolamine ammonia-lyase, small subunit"	"0"	"0"
"16540"	"0"	"26"	"0"	"1"	"4.3.1.7"	"ethanolamine"	"0.265699107054447"	"0.549770923802616"	"0.0125257291280956"	"0.0015780952175327"	""	""	"no ortholog"	"0.265699107054447"	"eutB"	"Ethanolamine ammonia-lyase, large subunit"	"reactant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA	NA	"0"	"0"
"17510"	"0"	"15"	"6"	"0"	"3.1.4.46"	"ethanolamine"	"0.265699107054447"	"0.549770923802616"	"0.0125257291280956"	"0.0015780952175327"	" CRP PhoB PhoB"	" Sigma24 Sigma70"	"3475602"	"0.265699107054447"	"ugpQ"	"Glycerophosphoryl diester phosphodiesterase"	"product"	"V 198 -> A 198 ,  V 160 -> A 160 ,  Q 135 -> E 135 ,  I 119 -> T 119 ,  I 119 -> T 119 ,  A 88 -> M 88"	"3475602"	"0"	"15"	"6"	"0"	""	""	""	""	""	""	""	""	"17510"	""	"EcHS_A3646"	"Glycerophosphoryl diester phosphodiesterase"	"0"	"A 198 -> V 198 ,  A 160 -> V 160 ,  E 135 -> Q 135 ,  T 119 -> I 119 ,  T 119 -> I 119 ,  M 88 -> A 88"
"18221"	"1"	"24"	"1"	"0"	"4.1.2.-"	"phosphoethanolamine"	"0.762677676098965"	"0.326820745779441"	"0.00577529899293872"	"0.00391238487476641"	" CRP IHF UlaR"	" Sigma70"	"3476392"	"0.762677676098965"	"ulaD"	"3-hexulose-6-phosphate synthase and related proteins"	"product"	"Q 131 -> G 131"	"3476392"	"1"	"24"	"1"	"0"	""	""	""	""	""	""	""	""	"18221"	""	"EcHS_A4440"	"3-hexulose-6-phosphate synthase and related proteins"	"0"	"G 131 -> Q 131"
"17613"	"0"	"2"	"1"	"0"	"1.1.1.215"	"gluconic acid"	"3.54874640869175"	"0.374900305037883"	"0.001980260654496"	"0.000109378148822949"	""	""	"3475710"	"3.54874640869175"	"yiaE"	"Lactate dehydrogenase and related dehydrogenases"	"reactant"	"G 129 -> E 129"	"3475710"	"0"	"2"	"1"	"0"	""	""	""	""	""	""	""	""	"17613"	""	"tkrA"	"Lactate dehydrogenase and related dehydrogenases"	"0"	"E 129 -> G 129"
"18293"	"3"	"2"	"1"	"0"	"2.7.1.12"	"gluconic acid"	"3.54874640869175"	"0.374900305037883"	"0.001980260654496"	"0.000109378148822949"	" CRP GntR IdnR"	" Sigma70"	"3476476"	"3.54874640869175"	"idnK"	"Gluconate kinase"	"reactant"	"H 88 -> Q 88"	"3476476"	"3"	"2"	"1"	"0"	""	""	""	""	""	""	" CRP GntR IdnR"	" Sigma70"	"18293"	""	"idnK"	"Gluconate kinase"	"0"	"Q 88 -> H 88"
"15155"	"5"	"3"	"1"	"0"	"1.1.1.81,1.1.1.95"	"glyceric acid , 3-phosphoglycerate"	"0.0789849138420591 , 0.437719659196196"	"0.948423668519921 , 0.514561614050625"	"0.0303021322243173 , 0.0147166711315958"	"0.0464080896611698 , 0.00363325157772906"	""	""	"3473098"	" 0.437719659196196"	"ycdW"	"Phosphoglycerate dehydrogenase and related dehydrogenases"	"reactant"	"K 301 -> R 301"	"3473098"	"0"	"3"	"1"	"0"	""	""	""	""	""	""	""	""	"15155"	""	"EcHS_A1151"	"Phosphoglycerate dehydrogenase and related dehydrogenases"	"0"	"R 301 -> K 301"
"16348"	"0"	"1"	"0"	"0"	"1.1.5.3,1.1.99.5"	"glycerol-alpha-phosphate , glycerol-alpha-phosphate"	"0.767274337222421 , 0.767274337222421"	"0.454055432685492 , 0.454055432685492"	"0.0434886231936481 , 0.0434886231936481"	"0.00674704781594541 , 0.00674704781594541"	" ArcA CRP FNR Fis FlhDC GlpR"	" Sigma70"	"3474325"	"0.767274337222421 "	"glpA"	"Glycerol-3-phosphate dehydrogenase"	"reactant"	"0"	"3474325"	"0"	"1"	"0"	"0"	""	""	""	""	""	""	" ArcA CRP FNR Fis FlhDC GlpR"	" Sigma70"	"16348"	""	"glpA"	"Glycerol-3-phosphate dehydrogenase"	"0"	"0"
"16349"	"0"	"28"	"5"	"0"	"1.1.5.3,1.1.99.5"	"glycerol-alpha-phosphate , glycerol-alpha-phosphate"	"0.767274337222421 , 0.767274337222421"	"0.454055432685492 , 0.454055432685492"	"0.0434886231936481 , 0.0434886231936481"	"0.00674704781594541 , 0.00674704781594541"	" ArcA CRP FNR Fis FlhDC GlpR"	" Sigma70"	"3474326"	"0.767274337222421 "	"glpB"	"Anaerobic glycerol-3-phosphate dehydrogenase"	"reactant"	"G 80 -> E 80 ,  D 163 -> G 163 ,  D 163 -> G 163 ,  S 165 -> A 165 ,  H 268 -> R 268"	"3474326"	"0"	"28"	"5"	"0"	""	""	""	""	""	""	" ArcA CRP FNR Fis FlhDC GlpR"	" Sigma70"	"16349"	""	"glpB"	"Anaerobic glycerol-3-phosphate dehydrogenase"	"0"	"E 80 -> G 80 ,  G 163 -> D 163 ,  G 163 -> D 163 ,  A 165 -> S 165 ,  R 268 -> H 268"
"17488"	"0"	"2"	"2"	"0"	"1.1.5.3,1.1.99.5"	"glycerol-alpha-phosphate , glycerol-alpha-phosphate"	"0.767274337222421 , 0.767274337222421"	"0.454055432685492 , 0.454055432685492"	"0.0434886231936481 , 0.0434886231936481"	"0.00674704781594541 , 0.00674704781594541"	" ArcA CRP GlpR"	" Sigma70"	"3475578"	"0.767274337222421 "	"glpD"	"Glycerol-3-phosphate dehydrogenase"	"reactant"	"K 496 -> R 496 ,  K 496 -> R 496"	"3475578"	"0"	"2"	"2"	"0"	""	""	""	""	""	""	" ArcA CRP GlpR"	" Sigma70"	"17488"	""	"glpD"	"Glycerol-3-phosphate dehydrogenase"	"0"	"R 496 -> K 496 ,  R 496 -> K 496"
"14148"	"0"	"13"	"1"	"0"	"2.7.1.39"	"homoserine"	"0.359309429842608"	"0.631998786762162"	"0.0128627262208111"	"0.00930284126355369"	""	" Sigma70"	"3471956"	"0.359309429842608"	"thrB"	"Homoserine kinase"	"reactant"	"D 274 -> E 274"	"3471956"	"0"	"13"	"1"	"0"	""	""	""	""	""	""	""	" Sigma70"	"14148"	""	"thrB"	"Homoserine kinase"	"0"	"E 274 -> D 274"
"16447"	"0"	"50"	"5"	"0"	"1.1.1.3"	"homoserine"	"0.359309429842608"	"0.631998786762162"	"0.0128627262208111"	"0.00930284126355369"	""	""	"3474434"	"0.359309429842608"	"yfcX"	"3-hydroxyacyl-CoA dehydrogenase"	"reactant"	"A 321 -> G 321 ,  D 205 -> E 205 ,  P 103 -> Q 103 ,  D 25 -> G 25 ,  I 18 -> V 18"	"3474434"	"0"	"50"	"5"	"0"	""	""	""	""	""	""	" ArcA FadR"	" Sigma70"	"16447"	""	"fadJ"	"3-hydroxyacyl-CoA dehydrogenase"	"0"	"G 321 -> A 321 ,  E 205 -> D 205 ,  Q 103 -> P 103 ,  G 25 -> D 25 ,  V 18 -> I 18"
"18041"	"2"	"7"	"5"	"0"	"2.3.1.46"	"homoserine"	"0.359309429842608"	"0.631998786762162"	"0.0128627262208111"	"0.00930284126355369"	" MetJ"	" Sigma32 Sigma70"	"3476201"	"0.359309429842608"	"metA"	"Homoserine trans-succinylase"	"reactant"	"E 97 -> D 97 ,  D 162 -> E 162 ,  Y 247 -> F 247 ,  G 256 -> D 256 ,  E 258 -> D 258"	"3476201"	"2"	"7"	"5"	"0"	""	""	""	""	""	""	" MetJ"	" Sigma32 Sigma70"	"18041"	""	"metA"	"Homoserine trans-succinylase"	"0"	"D 97 -> E 97 ,  E 162 -> D 162 ,  F 247 -> Y 247 ,  D 256 -> G 256 ,  D 258 -> E 258"
"1937119"	"0"	"22"	"0"	"0"	"2.6.1.42"	"isoleucine"	"-0.0456925013289036"	"0.96866951273982"	"0.0292533765672374"	"0.0282780345282557"	" IHF IHF Lrp"	" Sigma70"	"3475940"	"-0.0456925013289036"	"ilvE"	"Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase"	"reactant"	"0"	"3475940"	"0"	"22"	"0"	"0"	""	""	""	""	""	""	" IHF IHF Lrp"	" Sigma70"	"1937119"	""	"ilvE"	"Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase"	"0"	"0"
"17666"	"0"	"2"	"0"	"0"	"1.1.2.3"	"lactic acid"	"1.43345634497346"	"0.410024750014672"	"0.011486019267248"	"0.00196185971319482"	" ArcA LldR LldR"	" Sigma70"	"3475772"	"1.43345634497346"	"lldD"	"L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases"	"reactant"	"0"	"3475772"	"0"	"2"	"0"	"0"	""	""	""	""	""	""	" ArcA LldR LldR"	" Sigma70"	"17666"	""	"lldD"	"L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases"	"0"	"0"
"16318"	"0"	"7"	"2"	"5"	"1.1.5.4,1.1.99.16"	"malic acid , malic acid"	"0.559340751415306 , 0.559340751415306"	"0.601271781187417 , 0.601271781187417"	"0.000607322119928488 , 0.000607322119928488"	"0.000136182815874595 , 0.000136182815874595"	""	" Sigma24 Sigma70"	"3474291"	"0.559340751415306 "	"mqo"	"Predicted dehydrogenase"	"reactant"	"K 519 -> N 519 ,  M 486 -> T 486"	"3474291"	"0"	"7"	"2"	"0"	""	""	""	""	""	""	""	" Sigma24 Sigma70"	"16318"	""	"mqo"	"Predicted dehydrogenase"	"0"	"N 519 -> K 519 ,  T 486 -> M 486"
"16562"	"0"	"1"	"0"	"0"	"1.1.1.39,1.1.1.40"	"malic acid , malic acid"	"0.559340751415306 , 0.559340751415306"	"0.601271781187417 , 0.601271781187417"	"0.000607322119928488 , 0.000607322119928488"	"0.000136182815874595 , 0.000136182815874595"	""	""	"3474534"	"0.559340751415306 "	"maeB"	"Malic enzyme"	"reactant"	"0"	"3474534"	"0"	"1"	"0"	"0"	""	""	""	""	""	""	""	""	"16562"	""	"maeB"	"Malic enzyme"	"0"	"0"
"15184"	"0"	"16"	"0"	"0"	"3.5.2.3"	"N-carbamoylaspartate"	"0.369375257289823"	"0.517632889291251"	"0.00012187377883759"	"1.3320757294355e-05"	" Fur PurR"	" Sigma70"	"3473132"	"0.369375257289823"	"pyrC"	"Dihydroorotase"	"product"	"0"	"3473132"	"0"	"16"	"0"	"0"	""	""	""	""	""	""	" Fur PurR"	" Sigma70"	"15184"	""	"pyrC"	"Dihydroorotase"	"0"	"0"
"15886"	"1"	"2"	"0"	"0"	"3.5.1.19"	"nicotinamide"	"0.585281257912221"	"0.442370218886287"	"0.0204846006947885"	"0.019124579435336"	""	""	"3473797"	"0.585281257912221"	"ydjB"	"Amidases related to nicotinamidase"	"reactant"	"0"	"3473797"	"1"	"2"	"0"	"0"	""	""	""	""	""	""	""	""	"15886"	""	"pncA"	"Amidases related to nicotinamidase"	"0"	"0"
"17996"	"0"	"19"	"1"	"3"	"3.5.1.16"	"ornithine 3TMS minor"	"0.536819815315001"	"0.569845113186573"	"0.0240881083700688"	"0.00595166246655171"	" ArgR"	" Sigma70"	"3476143"	"0.536819815315001"	"argE"	"Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases"	"product"	"I 374 -> T 374"	"3476143"	"0"	"19"	"1"	"3"	""	""	""	""	""	""	" ArgR"	" Sigma70"	"17996"	""	"argE"	"Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases"	"0"	"T 374 -> I 374"
"18279"	"0"	"31"	"1"	"2"	"2.1.3.3"	"ornithine 3TMS minor"	"0.536819815315001"	"0.569845113186573"	"0.0240881083700688"	"0.00595166246655171"	" ArgR"	" Sigma70"	"3476462"	"0.536819815315001"	"argI"	"Ornithine carbamoyltransferase"	"reactant"	"D 253 -> E 253"	"3476462"	"0"	"31"	"1"	"10"	""	""	""	""	""	""	" ArgR"	" Sigma70"	"18279"	""	"argF"	"Ornithine carbamoyltransferase"	"0"	"E 253 -> D 253"
"17703"	"0"	"18"	"0"	"0"	"2.4.2.10"	"orotic acid"	"2.01315574519335"	"0.360043309845292"	"0.0107628835268532"	"0.00237112333900265"	""	" Sigma28,Sigma32"	"3475806"	"2.01315574519335"	"pyrE"	"Orotate phosphoribosyltransferase"	"product"	"0"	"3475806"	"0"	"18"	"0"	"0"	""	""	""	""	""	""	""	" Sigma28,Sigma32"	"17703"	""	"pyrE"	"Orotate phosphoribosyltransferase"	"0"	"0"
"14590"	"0"	"1"	"0"	"0"	"3.1.2.-"	"palmitoleic acid"	"1.19244861916346"	"0.368917848468468"	"0.0287540577355029"	"0.0152771111905426"	""	""	"3472481"	"1.19244861916346"	"tesB"	"Acyl-CoA thioesterase"	"product"	"0"	"3472481"	"0"	"1"	"0"	"0"	""	""	""	""	""	""	""	""	"14590"	""	"tesB"	"Acyl-CoA thioesterase"	"0"	"0"
"15373"	"0"	"2"	"0"	"1"	"3.1.2.-"	"palmitoleic acid"	"1.19244861916346"	"0.368917848468468"	"0.0287540577355029"	"0.0152771111905426"	""	" Sigma32"	"3473308"	"1.19244861916346"	"yciA"	"Acyl-CoA hydrolase"	"product"	"0"	"3473308"	"0"	"2"	"0"	"1"	""	""	""	""	""	""	""	" Sigma32"	"15373"	""	"yciA"	"Acyl-CoA hydrolase"	"0"	"0"
"16370"	"0"	"6"	"3"	"0"	"3.1.2.-"	"palmitoleic acid"	"1.19244861916346"	"0.368917848468468"	"0.0287540577355029"	"0.0152771111905426"	""	""	"3474351"	"1.19244861916346"	"yfbB"	"Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)"	"product"	"V 166 -> A 166 ,  C 136 -> L 136 ,  A 132 -> V 132"	"3474351"	"0"	"6"	"3"	"0"	""	""	""	""	""	""	""	""	"16370"	""	"EcHS_A2409"	"Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)"	"0"	"A 166 -> V 166 ,  L 136 -> C 136 ,  V 132 -> A 132"
"16129"	"0"	"28"	"1"	"0"	"2.6.1.9"	"phenylalanine"	"0.535279635328074"	"0.625881772774989"	"0.0235314451867926"	"0.0173696364830264"	""	""	"3474102"	"0.535279635328074"	"hisC"	"Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase"	"reactant"	"K 285 -> E 285"	"3474102"	"0"	"28"	"1"	"0"	""	""	""	""	""	""	""	""	"16129"	""	"hisC"	"Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase"	"0"	"E 285 -> K 285"
"16694"	"1"	"12"	"0"	"0"	"4.2.1.51"	"phenylalanine"	"0.535279635328074"	"0.625881772774989"	"0.0235314451867926"	"0.0173696364830264"	""	" Sigma70"	"3474699"	"0.535279635328074"	"pheA"	"Prephenate dehydratase"	"product"	"0"	"3474699"	"2"	"12"	"0"	"0"	""	""	""	""	""	""	""	" Sigma70"	"16694"	""	"pheA"	"Prephenate dehydratase"	"0"	"0"
"17981"	"0"	"1"	"0"	"0"	"1.11.1.7"	"phenylalanine"	"0.535279635328074"	"0.625881772774989"	"0.0235314451867926"	"0.0173696364830264"	" FNR Fur OxyR"	" Sigma70"	"3476128"	"0.535279635328074"	"katG"	"Catalase (peroxidase I)"	"reactant"	"0"	"3476128"	"0"	"1"	"0"	"0"	""	""	""	""	""	""	" FNR Fur OxyR"	" Sigma70"	"17981"	""	"katG"	"Catalase (peroxidase I)"	"0"	"0"
"15311"	"2"	"0"	"0"	"0"	"1.4.99.1"	"phenylpyruvic acid"	"-0.110040041291689"	"0.939626764393399"	"0.0786687159941295"	"0.0754680845790009"	" CRP CRP Lrp"	" Sigma70"	"3473239"	"-0.110040041291689"	"dadA"	"Glycine/D-amino acid oxidases (deaminating)"	"product"	"0"	"3473239"	"2"	"0"	"0"	"0"	""	""	""	""	""	""	" CRP CRP Lrp"	" Sigma70"	"15311"	""	"dadA"	"Glycine/D-amino acid oxidases (deaminating)"	"0"	"0"
"17889"	"1"	"32"	"5"	"0"	"4.1.1.-"	"phenylpyruvic acid"	"-0.110040041291689"	"0.939626764393399"	"0.0786687159941295"	"0.0754680845790009"	""	" Sigma70"	"3476018"	"-0.110040041291689"	"ubiD"	"3-polyprenyl-4-hydroxybenzoate decarboxylase and related decarboxylases"	"reactant"	"D 278 -> E 278 ,  P 279 -> Q 279 ,  P 279 -> Q 279 ,  M 282 -> T 282 ,  M 282 -> T 282"	"3476018"	"1"	"32"	"5"	"0"	""	""	""	""	""	""	""	" Sigma70"	"17889"	""	"ubiD"	"3-polyprenyl-4-hydroxybenzoate decarboxylase and related decarboxylases"	"0"	"E 278 -> D 278 ,  Q 279 -> P 279 ,  Q 279 -> P 279 ,  T 282 -> M 282 ,  T 282 -> M 282"
"15206"	"0"	"47"	"1"	"0"	"3.1.4.-"	"phosphoethanolamine"	"0.762677676098965"	"0.326820745779441"	"0.00577529899293872"	"0.00391238487476641"	""	" Sigma70"	"3473154"	"0.762677676098965"	"rne"	"Ribonucleases G and E"	"product"	"A 749 -> V 749"	"3473154"	"0"	"47"	"1"	"0"	""	""	""	""	""	""	""	" Sigma70"	"15206"	""	"rne"	"Ribonucleases G and E"	"0"	"V 749 -> A 749"
"18221"	"1"	"24"	"1"	"0"	"4.1.2.-"	"phosphoethanolamine"	"0.762677676098965"	"0.326820745779441"	"0.00577529899293872"	"0.00391238487476641"	" CRP IHF UlaR"	" Sigma70"	"3476392"	"0.762677676098965"	"ulaD"	"3-hexulose-6-phosphate synthase and related proteins"	"product"	"Q 131 -> G 131"	"3476392"	"1"	"24"	"1"	"0"	""	""	""	""	""	""	""	""	"18221"	""	"EcHS_A4440"	"3-hexulose-6-phosphate synthase and related proteins"	"0"	"G 131 -> Q 131"
"1937124"	"0"	"1"	"0"	"0"	"3.6.1.11,3.6.1.40"	"phosphoric acid , phosphoric acid"	"0.688589475140754 , 0.688589475140754"	"0.218766561334181 , 0.218766561334181"	"0.0166613353448738 , 0.0166613353448738"	"0.0101369418270666 , 0.0101369418270666"	""	""	"3475948"	"0.688589475140754 "	"gpp"	"Exopolyphosphatase"	"product"	"0"	"3475948"	"0"	"1"	"0"	"0"	""	""	""	""	""	""	""	""	"1937124"	""	"gppA"	"Exopolyphosphatase"	"0"	"0"
