locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
3471964	YP_001456796.1	157159478	57075	11355	10642	-	EcHS_A0012	EcHS_A0012	hypothetical protein (RefSeq)	COG4735	S	Uncharacterized protein conserved in bacteria					
3471965	YP_001456797.1	157159479	57075	11785	11381	-	EcHS_A0013	EcHS_A0013	hypothetical protein (RefSeq)								
3471966	YP_001456798.1	157159480	57075	12069	11920	-	EcHS_A0014	EcHS_A0014	hypothetical protein (RefSeq)								
3471967	YP_001456799.1	157159481	57075	12162	14078	+	EcHS_A0015	dnaK	chaperone protein DnaK (RefSeq)	COG443	O	Molecular chaperone	TIGR02350 chaperone protein DnaK [dnaK]	Protein fate:Protein folding and stabilization	GO:0006457,GO:0005524,GO:0051082		
3471968	YP_001456800.1	157159482	57075	14167	15297	+	EcHS_A0016	dnaJ	chaperone protein DnaJ (RefSeq)	COG484	O	DnaJ-class molecular chaperone with C-terminal Zn finger domain	TIGR02349 chaperone protein DnaJ [dnaJ]		GO:0009408,GO:0006457,GO:0005524,GO:0031072,GO:0051082		
3471969	YP_001456801.1	157159483	57075	16672	15560	-	EcHS_A0017	EcHS_A0017	IS186, transposase (RefSeq)						GO:0006313,GO:0004803,GO:0003677		
3471970	YP_001456802.1	157159484	57075	16959	16750	-	EcHS_A0018	EcHS_A0018	putative Hok/gef family protein (RefSeq)						GO:0016020		
3471971	YP_001456803.1	157159485	57075	17488	18654	+	EcHS_A0019	nhaA	Na+/H+ antiporter NhaA (RefSeq)	COG3004	P	Na+/H+ antiporter	TIGR00773 Na+/H+ antiporter NhaA [nhaA]	Transport and binding proteins:Cations and iron carrying compounds	GO:0006814,GO:0006885,GO:0016021		
3471972	YP_001456804.1	157159486	57075	18720	19619	+	EcHS_A0020	nhaR	transcriptional activator protein NhaR (RefSeq)	COG583	K	Transcriptional regulator			GO:0006355,GO:0003700		
3471973	YP_001456805.1	157159487	57075	20437	19658	-	EcHS_A0021	EcHS_A0021	hypothetical protein (RefSeq)						GO:0007155,GO:0009289		
3471974			57075	21774	20629	-	EcHS_A0023	EcHS_A0023									
3471975	YP_001456806.1	157159488	57075	22770	22207	-	EcHS_A4640	EcHS_A4640	hypothetical protein (RefSeq)								
3471976	YP_001456807.1	157159489	57075	23627	22812	-	EcHS_A0024	EcHS_A0024	hypothetical protein (RefSeq)								
3471977	YP_001456808.1	157159490	57075	24374	24111	-	EcHS_A0025	rpsT	ribosomal protein S20 (RefSeq)	COG268	J	Ribosomal protein S20	TIGR00029 ribosomal protein S20 [rpsT]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003723,GO:0003735		
3471978	YP_001456809.1	157159491	57075	24477	24695	+	EcHS_A0026	EcHS_A0026	hypothetical protein (RefSeq)								
3471979	YP_001456810.1	157159492	57075	24703	25644	+	EcHS_A0027	ribF	riboflavin biosynthesis protein RibF (RefSeq)	COG196	H	FAD synthase	TIGR00083 riboflavin biosynthesis protein RibF [ribF]	Biosynthesis of cofactors, prosthetic groups, and carriers:Riboflavin, FMN, and FAD	GO:0009231,GO:0003919,GO:0008531	2.7.1.26,2.7.7.2	Riboflavin kinase.,FAD synthetase.
3471980	YP_001456811.1	157159493	57075	25687	28503	+	EcHS_A0028	ileS	isoleucyl-tRNA synthetase (RefSeq)	COG60	J	Isoleucyl-tRNA synthetase	TIGR00392 isoleucine--tRNA ligase [ileS]	Protein synthesis:tRNA aminoacylation	GO:0006423,GO:0006428,GO:0005737,GO:0005524,GO:0008270,GO:0004817,GO:0004822	6.1.1.5	Isoleucine--tRNA ligase.
3471981	YP_001456812.1	157159494	57075	28503	28997	+	EcHS_A0029	lspA	signal peptidase II (RefSeq)	COG597	MU	Lipoprotein signal peptidase	TIGR00077 signal peptidase II [lspA]	Protein fate:Protein and peptide secretion and trafficking	GO:0006508,GO:0016020,GO:0009005,GO:0004190	3.4.23.36	Signal peptidase II.
3471982	YP_001456813.1	157159495	57075	29085	29534	+	EcHS_A0030	fkpB	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase (RefSeq)	COG1047	O	FKBP-type peptidyl-prolyl cis-trans isomerases 2			GO:0006457,GO:0003755,GO:0042027,GO:0004600,GO:0030051	5.2.1.8	Peptidylprolyl isomerase.
3471983	YP_001456814.1	157159496	57075	29536	30486	+	EcHS_A0031	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (RefSeq)	COG761	IM	Penicillin tolerance protein	TIGR00216 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [ispH]	Biosynthesis of cofactors, prosthetic groups, and carriers:Other	GO:0019288,GO:0051745	1.17.1.2	4-hydroxy-3-methylbut-2-enyl diphosphate reductase.
3471984	YP_001456815.1	157159497	57075	30552	31466	+	EcHS_A0032	rihC	nonspecific ribonucleoside hydrolase RihC (RefSeq)	COG1957	F	Inosine-uridine nucleoside N-ribohydrolase				3.2.-.-	
3471985	YP_001456816.1	157159498	57075	31633	32454	+	EcHS_A0033	dapB	dihydrodipicolinate reductase (RefSeq)	COG289	E	Dihydrodipicolinate reductase	TIGR00036 dihydrodipicolinate reductase [dapB]	Amino acid biosynthesis:Aspartate family	GO:0009089,GO:0005737,GO:0008839	1.3.1.26	Dihydrodipicolinate reductase.
3471986	YP_001456817.1	157159499	57075	32663	32496	-	EcHS_A0034	EcHS_A0034	hypothetical protein (RefSeq)								
3471987	YP_001456818.1	157159500	57075	32910	34058	+	EcHS_A0035	carA	carbamoyl-phosphate synthase, small subunit (RefSeq)	COG505	EF	Carbamoylphosphate synthase small subunit	TIGR01368 carbamoyl-phosphate synthase, small subunit [carA]	Purines, pyrimidines, nucleosides, and nucleotides:Pyrimidine ribonucleotide biosynthesis	GO:0009058,GO:0006541,GO:0004086,GO:0004088,GO:0005524	6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing).
3471988	YP_001456819.1	157159501	57075	34076	37297	+	EcHS_A0036	carB	carbamoyl-phosphate synthase, large subunit (RefSeq)	COG458	EF	Carbamoylphosphate synthase large subunit (split gene in MJ)	TIGR01369 carbamoyl-phosphate synthase, large subunit [carB]	Purines, pyrimidines, nucleosides, and nucleotides:Pyrimidine ribonucleotide biosynthesis	GO:0006526,GO:0019856,GO:0005737,GO:0004086,GO:0004088,GO:0005524	6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing).
3471989	YP_001456820.1	157159502	57075	37523	37305	-	EcHS_A0037	EcHS_A0037	hypothetical protein (RefSeq)								
3471990	YP_001456821.1	157159503	57075	37558	37953	+	EcHS_A0038	caiF	transcriptional activatory protein CaiF (RefSeq)								
3471991	YP_001456822.1	157159504	57075	38629	38039	-	EcHS_A0039	caiE	carnitine operon protein caiE (RefSeq)	COG663	R	Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily			GO:0008415,GO:0016740		
3471992	YP_001456823.2	229220676	57075	39420	38635	-	EcHS_A0040	caiD	carnitinyl-CoA dehydratase (RefSeq)	COG1024	I	Enoyl-CoA hydratase/carnithine racemase			GO:0008152,GO:0003824	4.2.1.-	
3471993	YP_001456824.1	157159506	57075	41097	39529	-	EcHS_A0041	EcHS_A0041	putative crotonobetaine/carnitine-CoA ligase (RefSeq)	COG318	IQ	Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II			GO:0008152,GO:0003824	6.2.1.-	
3471994	YP_001456825.1	157159507	57075	42373	41156	-	EcHS_A0042	caiB	crotonobetainyl-CoA:carnitine CoA-transferase (RefSeq)	COG1804	C	Predicted acyl-CoA transferases/carnitine dehydratase			GO:0008152,GO:0003824	2.8.3.-	
3471995	YP_001456826.1	157159508	57075	43644	42502	-	EcHS_A0043	caiA	crotonobetainyl-CoA dehydrogenase (RefSeq)	COG1960	I	Acyl-CoA dehydrogenases			GO:0006118,GO:0003995,GO:0050660	1.3.99.-	
3471996	YP_001456827.1	157159509	57075	45189	43675	-	EcHS_A0044	caiT	L-carnitine/gamma-butyrobetaine antiporter (RefSeq)	COG1292	M	Choline-glycine betaine transporter	TIGR00842 transporter, betaine/carnitine/choline transporter (BCCT) family	Transport and binding proteins:Other	GO:0006810,GO:0016020,GO:0005215		
3471997	YP_001456828.1	157159510	57075	45204	45305	+	EcHS_A0045	EcHS_A0045	hypothetical protein (RefSeq)								
3471998	YP_001456829.1	157159511	57075	45484	45594	+	EcHS_A0046	EcHS_A0046	hypothetical protein (RefSeq)								
3471999	YP_001456830.1	157159512	57075	45663	46433	+	EcHS_A0047	fixA	protein fixA (RefSeq)	COG2086	C	Electron transfer flavoprotein, beta subunit			GO:0006118,GO:0009055		
3472000	YP_001456831.1	157159513	57075	46448	47389	+	EcHS_A0048	fixB	electron transfer flavoprotein, alpha subunit (RefSeq)	COG2025	C	Electron transfer flavoprotein, alpha subunit			GO:0006118,GO:0009055,GO:0050660		
3472001	YP_001456832.1	157159514	57075	47440	48726	+	EcHS_A0049	fixC	protein FixC (RefSeq)	COG644	C	Dehydrogenases (flavoproteins)			GO:0006118,GO:0006725,GO:0009228,GO:0004497,GO:0016491	1.5.5.-	
3472002	YP_001456833.1	157159515	57075	48723	49010	+	EcHS_A0050	fixX	ferredoxin homolog FixX (RefSeq)	COG2440	C	Ferredoxin-like protein			GO:0006118,GO:0005506		
3472003	YP_001456834.1	157159516	57075	49069	50400	+	EcHS_A0051	EcHS_A0051	major facilitator family transporter (RefSeq)	COG2271	G	Sugar phosphate permease			GO:0006810,GO:0016021,GO:0005215		
3472004	YP_001456835.1	157159517	57075	50508	51038	+	EcHS_A0052	kefF	glutathione-regulated potassium-efflux system ancillary protein kefF (RefSeq)	COG2249	R	Putative NADPH-quinone reductase (modulator of drug activity B)			GO:0006118,GO:0016491,GO:0050662		
3472005	YP_001456836.1	157159518	57075	51031	52893	+	EcHS_A0053	kefC	glutathione-regulated potassium-efflux system protein KefC (RefSeq)	COG475	P	Kef-type K+ transport systems, membrane components	TIGR00932 transporter, monovalent cation:proton antiporter-2 (CPA2) family	Transport and binding proteins:Cations and iron carrying compounds	GO:0006813,GO:0006885,GO:0016021,GO:0015299		
3472006	YP_001456837.1	157159519	57075	53085	53564	+	EcHS_A0054	folA	dihydrofolate reductase (RefSeq)	COG262	H	Dihydrofolate reductase			GO:0006545,GO:0009165,GO:0004146,GO:0050661	1.5.1.3	Dihydrofolate reductase.
3472007	YP_001456838.1	157159520	57075	54484	53642	-	EcHS_A0055	apaH	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) (RefSeq)	COG639	T	Diadenosine tetraphosphatase and related serine/threonine protein phosphatases	TIGR00668 bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [apaH]	Cellular processes:Adaptations to atypical conditions	GO:0008803	3.6.1.41	Bis(5'-nucleosyl)-tetraphosphatase (symmetrical).
3472008	YP_001456839.1	157159521	57075	54868	54491	-	EcHS_A0056	apaG	protein ApaG (RefSeq)	COG2967	P	Uncharacterized protein affecting Mg2+/Co2+ transport					
3472009	YP_001456840.1	157159522	57075	55692	54871	-	EcHS_A0057	ksgA	dimethyladenosine transferase (RefSeq)	COG30	J	Dimethyladenosine transferase (rRNA methylation)	TIGR00755 dimethyladenosine transferase [ksgA]	Protein synthesis:tRNA and rRNA base modification	GO:0000154,GO:0000179	2.1.1.-	
3472010	YP_001456841.1	157159523	57075	56678	55689	-	EcHS_A0058	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase (RefSeq)	COG1995	H	Pyridoxal phosphate biosynthesis protein	TIGR00557 4-hydroxythreonine-4-phosphate dehydrogenase [pdxA]	Biosynthesis of cofactors, prosthetic groups, and carriers:Pyridoxine	GO:0008615,GO:0050569,GO:0050570,GO:0051287	1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase.
3472011	YP_001456842.1	157159524	57075	57964	56678	-	EcHS_A0059	surA	chaperone/peptidyl-prolyl cis-trans isomerase SurA (RefSeq)	COG760	O	Parvulin-like peptidyl-prolyl isomerase			GO:0006457,GO:0015031,GO:0003755,GO:0016853,GO:0004600,GO:0030051,GO:0042027	5.2.1.8	Peptidylprolyl isomerase.
3472012	YP_001456843.1	157159525	57075	60371	58017	-	EcHS_A0060	imp	LPS-assembly protein (RefSeq)	COG1452	M	Organic solvent tolerance protein OstA			GO:0010033,GO:0016044,GO:0019867		
3472013	YP_001456844.1	157159526	57075	60626	61441	+	EcHS_A0061	djlA	protein DjlA, DnaJ family (RefSeq)	COG1076	O	DnaJ-domain-containing proteins 1			GO:0006457,GO:0031072,GO:0051082		
3472014	YP_001456845.1	157159527	57075	62217	61558	-	EcHS_A0062	EcHS_A0062	pseudouridine synthase, RluA family (RefSeq)	COG564	J	Pseudouridylate synthases, 23S RNA-specific	TIGR00005 pseudouridine synthase, RluA family	Protein synthesis:tRNA and rRNA base modification	GO:0001522,GO:0003723,GO:0009982,GO:0016439	5.4.99.12	tRNA-pseudouridine synthase I.
3472015	YP_001456846.1	157159528	57075	65135	62229	-	EcHS_A0063	rapA	RNA polymerase associated protein RapA (RefSeq)	COG553	KL	Superfamily II DNA/RNA helicases, SNF2 family			GO:0003677,GO:0004386,GO:0005524	3.6.1.-	
3472016	YP_001456847.1	157159529	57075	67651	65300	-	EcHS_A0064	polB	DNA polymerase II (RefSeq)	COG417	L	DNA polymerase elongation subunit (family B)			GO:0006260,GO:0000166,GO:0003890,GO:0003895,GO:0016448,GO:0016452,GO:0003677,GO:0003891,GO:0016449,GO:0019984,GO:0003887,GO:0003893,GO:0015999,GO:0016450,GO:0003889,GO:0003894,GO:0016000,GO:0016451	2.7.7.7	DNA-directed DNA polymerase.
3472017	YP_001456848.1	157159530	57075	68421	67726	-	EcHS_A0065	araD	L-ribulose-5-phosphate 4-epimerase (RefSeq)	COG235	G	Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases	TIGR00760 L-ribulose-5-phosphate 4-epimerase [araD]	Energy metabolism:Sugars	GO:0019572,GO:0008270,GO:0008742	5.1.3.4	L-ribulose-5-phosphate 4-epimerase.
3472018	YP_001456849.1	157159531	57075	70092	68590	-	EcHS_A0066	araA	L-arabinose isomerase (RefSeq)	COG2160	G	L-arabinose isomerase			GO:0006004,GO:0008152,GO:0005737,GO:0008736,GO:0008733	5.3.1.4	L-arabinose isomerase.
3472019	YP_001456850.1	157159532	57075	71803	70103	-	EcHS_A0067	araB	L-ribulokinase (RefSeq)	COG1069	C	Ribulose kinase	TIGR01234 L-ribulokinase [araB]	Energy metabolism:Sugars	GO:0019572,GO:0008741	2.7.1.16	Ribulokinase.
3472020	YP_001456851.1	157159533	57075	72142	73020	+	EcHS_A0068	araC	arabinose operon regulatory protein (RefSeq)	COG2207	K	AraC-type DNA-binding domain-containing proteins			GO:0006355,GO:0005622,GO:0003677,GO:0043565,GO:0003700		
3472021	YP_001456852.1	157159534	57075	73106	73870	+	EcHS_A0069	EcHS_A0069	hypothetical protein (RefSeq)	COG586	S	Uncharacterized membrane-associated protein					
3472022	YP_001456853.1	157159535	57075	74682	73984	-	EcHS_A0070	thiQ	thiamine ABC transporter, ATP-binding protein (RefSeq)	COG3840	H	ABC-type thiamine transport system, ATPase component	TIGR01277 thiamine ABC transporter, ATP-binding protein [thiQ]	Transport and binding proteins:Other	GO:0006810,GO:0009276,GO:0005524,GO:0042626		
3472023	YP_001456854.1	157159536	57075	76276	74666	-	EcHS_A0071	thiP	thiamine/thiamine pyrophosphate ABC transporter, permease protein (RefSeq)	COG1178	P	ABC-type Fe3+ transport system, permease component	TIGR01253 thiamine/thiamine pyrophosphate ABC transporter, permease protein [thiP]	Transport and binding proteins:Other	GO:0006810,GO:0009276,GO:0016021,GO:0005215		
3472024	YP_001456855.1	157159537	57075	77235	76252	-	EcHS_A0072	thiB	thiamin/thiamin pyrophosphate ABC transporter, periplasmic thiamin/thiamin pyrophospate-binding protein (RefSeq)	COG4143	H	ABC-type thiamine transport system, periplasmic component	TIGR01254 ABC transporter periplasmic binding protein, thiB subfamily,TIGR01276 thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein [thiB]	Transport and binding proteins:Other	GO:0006810,GO:0030288,GO:0005524,GO:0042626		
3472025	YP_001456856.1	157159538	57075	77398	77279	-	EcHS_A0073	EcHS_A0073	putative lipoprotein (RefSeq)								
3472026	YP_001456857.1	157159539	57075	79054	77399	-	EcHS_A0074	sgrR	sugar transport-related sRNA regulator SgrR (RefSeq)	COG4533	R	ABC-type uncharacterized transport system, periplasmic component			GO:0006810,GO:0005215		
3472027	YP_001456858.1	157159540	57075	79376	80554	+	EcHS_A0075	setA	sugar efflux transporter A (RefSeq)	COG2814	G	Arabinose efflux permease	TIGR00899 sugar efflux transporter	Transport and binding proteins:Carbohydrates, organic alcohols, and acids	GO:0008643,GO:0016021,GO:0015542		
3472028	YP_001456859.1	157159541	57075	81208	80603	-	EcHS_A0076	leuD	3-isopropylmalate dehydratase, small subunit (RefSeq)	COG66	E	3-isopropylmalate dehydratase small subunit	TIGR00171 3-isopropylmalate dehydratase, small subunit [leuD]	Amino acid biosynthesis:Pyruvate family	GO:0009098,GO:0009316,GO:0003861,GO:0047508	4.2.1.33,4.2.1.35	3-isopropylmalate dehydratase.,(R)-2-methylmalate dehydratase.
3472029	YP_001456860.1	157159542	57075	82619	81219	-	EcHS_A0077	leuC	3-isopropylmalate dehydratase, large subunit (RefSeq)	COG65	E	3-isopropylmalate dehydratase large subunit	TIGR00170 3-isopropylmalate dehydratase, large subunit [leuC]	Amino acid biosynthesis:Pyruvate family	GO:0009098,GO:0009316,GO:0003861,GO:0051539,GO:0047508	4.2.1.33,4.2.1.35	3-isopropylmalate dehydratase.,(R)-2-methylmalate dehydratase.
3472030	YP_001456861.1	157159543	57075	83713	82622	-	EcHS_A0078	leuB	3-isopropylmalate dehydrogenase (RefSeq)	COG473	CE	Isocitrate/isopropylmalate dehydrogenase	TIGR00169 3-isopropylmalate dehydrogenase [leuB]	Amino acid biosynthesis:Pyruvate family	GO:0009098,GO:0005737,GO:0003862	1.1.1.85	3-isopropylmalate dehydrogenase.
3472031	YP_001456862.1	157159544	57075	85284	83713	-	EcHS_A0079	leuA	2-isopropylmalate synthase (RefSeq)	COG119	E	Isopropylmalate/homocitrate/citramalate synthases	TIGR00973 2-isopropylmalate synthase [leuA]	Amino acid biosynthesis:Pyruvate family	GO:0009098,GO:0003852	2.3.3.13	2-isopropylmalate synthase.
3472032	YP_001456863.1	157159545	57075	85463	85377	-	EcHS_A0080	leuL	leu operon leader peptide (RefSeq)						GO:0009098		
3472033	YP_001456864.1	157159546	57075	86123	87067	+	EcHS_A0081	leuO	transcriptional regulator LeuO (RefSeq)	COG583	K	Transcriptional regulator			GO:0006355,GO:0003700		
3472034	YP_001456865.1	157159547	57075	87225	87103	-	EcHS_A0082	EcHS_A0082	hypothetical protein (RefSeq)								
3472035	YP_001456866.1	157159548	57075	87385	89109	+	EcHS_A0083	ilvI	acetolactate synthase, large subunit, isozyme III (RefSeq)	COG28	EH	Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]	TIGR00118 acetolactate synthase, large subunit, biosynthetic type [ilvB]	Amino acid biosynthesis:Pyruvate family	GO:0009082,GO:0000287,GO:0050660,GO:0003984,GO:0030976	2.2.1.6	Acetolactate synthase.
3472036	YP_001456867.1	157159549	57075	89112	89603	+	EcHS_A0084	ilvH	acetolactate synthase, small subunit, isozyme III (RefSeq)	COG440	E	Acetolactate synthase, small (regulatory) subunit	TIGR00119 acetolactate synthase, small subunit [ilvN]	Amino acid biosynthesis:Pyruvate family	GO:0009082,GO:0003984,GO:0016597	2.2.1.6	Acetolactate synthase.
3472037	YP_001456868.1	157159550	57075	89655	89786	+	EcHS_A0085	EcHS_A0085	hypothetical protein (RefSeq)								
3472038	YP_001456869.1	157159551	57075	89783	90787	+	EcHS_A0086	fruR	fructose repressor (RefSeq)	COG1609	K	Transcriptional regulators	TIGR02417 D-fructose-responsive transcription factor	Regulatory functions:DNA interactions	GO:0006355,GO:0009750,GO:0005622,GO:0003700		
3472039	YP_001456870.1	157159552	57075	91389	91847	+	EcHS_A0087	mraZ	MraZ protein (RefSeq)	COG2001	S	Uncharacterized protein conserved in bacteria	TIGR00242 protein MraZ [mraZ]	Unknown function:General			
3472040	YP_001456871.1	157159553	57075	91849	92790	+	EcHS_A0088	mraW	S-adenosyl-methyltransferase MraW (RefSeq)	COG275	M	Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis	TIGR00006 S-adenosyl-methyltransferase MraW [mraW]	Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan	GO:0008168	2.1.1.-	
3472041	YP_001456872.1	157159554	57075	92787	93152	+	EcHS_A0089	ftsL	cell division protein FtsL (RefSeq)	COG3116	D	Cell division protein	TIGR02209 cell division protein FtsL [ftsL]	Cellular processes:Cell division	GO:0007049,GO:0051301,GO:0016021		
3472042	YP_001456873.1	157159555	57075	93168	94934	+	EcHS_A0090	ftsI	peptidoglycan synthetase FtsI (RefSeq)	COG768	M	Cell division protein FtsI/penicillin-binding protein 2			GO:0009273,GO:0008658,GO:0008955	2.4.1.129	Peptidoglycan glycosyltransferase.
3472043	YP_001456874.1	157159556	57075	94921	96408	+	EcHS_A0091	murE	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase (RefSeq)	COG769	M	UDP-N-acetylmuramyl tripeptide synthase	TIGR01085 UDP-N-acetylmuramyl-tripeptide synthetase [murE]	Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan	GO:0009252,GO:0008360,GO:0051301,GO:0005737,GO:0005524,GO:0016881,GO:0008765	6.3.2.13	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase.
3472044	YP_001456875.1	157159557	57075	96405	97763	+	EcHS_A0092	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase (RefSeq)	COG770	M	UDP-N-acetylmuramyl pentapeptide synthase	TIGR01143 UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [murF]	Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan	GO:0009252,GO:0008360,GO:0051301,GO:0005737,GO:0005524,GO:0047480,GO:0008766	6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase.
3472045	YP_001456876.1	157159558	57075	97757	98839	+	EcHS_A0093	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase (RefSeq)	COG472	M	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase	TIGR00445 phospho-N-acetylmuramoyl-pentapeptide-transferase [mraY]	Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan	GO:0009252,GO:0016021,GO:0008963	2.7.8.13	Phospho-N-acetylmuramoyl-pentapeptide-transferase.
3472046	YP_001456877.1	157159559	57075	98842	100158	+	EcHS_A0094	murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase (RefSeq)	COG771	M	UDP-N-acetylmuramoylalanine-D-glutamate ligase	TIGR01087 UDP-N-acetylmuramoylalanine--D-glutamate ligase [murD]	Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan	GO:0009252,GO:0008360,GO:0051301,GO:0005737,GO:0005524,GO:0031177,GO:0008764	6.3.2.9	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase.
3472047	YP_001456878.1	157159560	57075	100158	101402	+	EcHS_A0095	ftsW	cell division protein FtsW (RefSeq)	COG772	D	Bacterial cell division membrane protein	TIGR02614 cell division protein FtsW [ftsW]	Cellular processes:Cell division	GO:0007049,GO:0009252,GO:0051301,GO:0016021		
3472048	YP_001456879.1	157159561	57075	101399	102466	+	EcHS_A0096	murG	undecaprenyldiphospho-muramoylpentapeptidebeta-N-acetylglucosaminyltransferase (RefSeq)	COG707	M	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase	TIGR01133 undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase [murG]	Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan	GO:0019277,GO:0030259,GO:0009276,GO:0050511,GO:0030246	2.4.1.227	acetylglucosaminyltransferase.
3472049	YP_001456880.1	157159562	57075	102520	103995	+	EcHS_A0097	murC	UDP-N-acetylmuramate--alanine ligase (RefSeq)	COG773	M	UDP-N-acetylmuramate-alanine ligase	TIGR01082 UDP-N-acetylmuramate--alanine ligase [murC]	Cell envelope:Biosynthesis and degradation of murein sacculus and peptidoglycan	GO:0009252,GO:0051301,GO:0008360,GO:0005737,GO:0005524,GO:0008763	6.3.2.8	UDP-N-acetylmuramate--L-alanine ligase.
