"types"	"Vimss ID"	"Upstream"	""	""	""	"Synonymous"	""	""	""	"Nonsynonymous"	""	""	""	"Downstream"	""	""	""	"EC numbers"	"Names of metabolites"	"Log2 ratio"	"p-value"	"SD test"	"SD ref"	"TF binding sites"	"Sigma sites"	"Is mapped to ortholog"	"Fraction Missing"
"Coding with metabolites"	"3472361"	"8"	"9"	"5"	"6"	"8"	"8"	"5"	"6"	"0"	"1"	"0"	"0"	"8"	"10"	"5"	"6"	"3.2.1.23"	"galactose"	"-1.77351113801537"	"0.12690288930768"	"0.000535232582653177"	"0.00116508998487572"	""	" , Sigma28 , Sigma70"	"yes"	""
"Coding with metabolites"	"3472761"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.7.1.6"	"galactose"	"-1.77351113801537"	"0.12690288930768"	"0.000535232582653177"	"0.00116508998487572"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3475209"	"1"	"0"	"0"	"1"	"15"	"12"	"8"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.2.1.23"	"galactose"	"-1.77351113801537"	"0.12690288930768"	"0.000535232582653177"	"0.00116508998487572"	""	" , Sigma32"	"yes"	""
"Coding with metabolites"	"3475119"	"5"	"1"	"1"	"1"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"1"	"0"	"3.5.1.78,6.3.1.8"	"glutathione , glutathione"	"-0.86102358685119 , -0.86102358685119"	"0.398209640847857 , 0.398209640847857"	"0.0273826844129481 , 0.0273826844129481"	"0.0486311964049712 , 0.0486311964049712"	""	" , Sigma24 , Sigma70"	"yes"	""
"Coding with metabolites"	"3472832"	"2"	"2"	"3"	"3"	"2"	"2"	"3"	"3"	"0"	"0"	"0"	"0"	"3"	"2"	"3"	"4"	"1.97.1.-,1.97.1.4"	"glutathione , methionine"	"-0.86102358685119 , -1.20413896034235"	"0.398209640847857 , 0.44036680356283"	"0.0273826844129481 , 0.00289600450975022"	"0.0486311964049712 , 0.0404006885738535"	""	""	"yes"	""
"Coding with metabolites"	"3476138"	"0"	"0"	"0"	"0"	"4"	"5"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.97.1.-,1.97.1.4"	"glutathione , methionine"	"-0.86102358685119 , -1.20413896034235"	"0.398209640847857 , 0.44036680356283"	"0.0273826844129481 , 0.00289600450975022"	"0.0486311964049712 , 0.0404006885738535"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3473797"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.5.1.-,3.5.1.19"	"glutathione , nicotinamide"	"-0.86102358685119 , -0.58528125791222"	"0.398209640847857 , 0.442370218886287"	"0.0273826844129481 , 0.019124579435336"	"0.0486311964049712 , 0.0204846006947885"	""	""	"yes"	""
"Coding with metabolites"	"3473098"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.1.1.79,1.1.1.81"	"glyceric acid , glyceric acid"	"-0.0789849138420592 , -0.0789849138420592"	"0.948423668519921 , 0.948423668519921"	"0.0464080896611698 , 0.0464080896611698"	"0.0303021322243173 , 0.0303021322243173"	""	""	"yes"	""
"Coding with metabolites"	"3474248"	"1"	"0"	"6"	"4"	"1"	"0"	"6"	"4"	"0"	"0"	"0"	"0"	"1"	"1"	"6"	"4"	"2.7.1.-,2.7.1.69"	"glyceric acid , mannose-6-phosphate NIST"	"-0.0789849138420592 , -1.95699023422295"	"0.948423668519921 , 0.390699466355439"	"0.0464080896611698 , 0.0186695855359539"	"0.0303021322243173 , 0.0881757158809604"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3471955"	"0"	"0"	"0"	"0"	"10"	"13"	"10"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.1.1.3,2.7.2.4"	"homoserine , aspartic acid"	"-0.359309429842608 , 0.378955683136698"	"0.631998786762162 , 0.741513314006951"	"0.00930284126355369 , 0.00983935354076784"	"0.0128627262208111 , 0.0104317442316806"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3471956"	"0"	"0"	"0"	"0"	"4"	"7"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.7.1.39"	"homoserine"	"-0.359309429842608"	"0.631998786762162"	"0.00930284126355369"	"0.0128627262208111"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3474434"	"19"	"8"	"10"	"19"	"18"	"8"	"10"	"19"	"0"	"0"	"0"	"0"	"18"	"8"	"10"	"19"	"1.1.1.3,4.2.1.17,1.1.1.35,5.1.2.3"	"homoserine"	"-0.359309429842608"	"0.631998786762162"	"0.00930284126355369"	"0.0128627262208111"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3476126"	"0"	"0"	"0"	"0"	"1"	"5"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1.1.1.3,2.7.2.4"	"homoserine , aspartic acid"	"-0.359309429842608 , 0.378955683136698"	"0.631998786762162 , 0.741513314006951"	"0.00930284126355369 , 0.00983935354076784"	"0.0128627262208111 , 0.0104317442316806"	""	""	"yes"	""
"Coding with metabolites"	"3476201"	"0"	"0"	"2"	"0"	"4"	"2"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2.3.1.46"	"homoserine"	"-0.359309429842608"	"0.631998786762162"	"0.00930284126355369"	"0.0128627262208111"	""	""	"yes"	""
"Coding with metabolites"	"3471955"	"0"	"0"	"0"	"0"	"10"	"13"	"10"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.1.1.3,2.7.2.4"	"homoserine , aspartic acid"	"-0.359309429842608 , 0.378955683136698"	"0.631998786762162 , 0.741513314006951"	"0.00930284126355369 , 0.00983935354076784"	"0.0128627262208111 , 0.0104317442316806"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3476126"	"0"	"0"	"0"	"0"	"1"	"5"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1.1.1.3,2.7.2.4"	"homoserine , aspartic acid"	"-0.359309429842608 , 0.378955683136698"	"0.631998786762162 , 0.741513314006951"	"0.00930284126355369 , 0.00983935354076784"	"0.0128627262208111 , 0.0104317442316806"	""	""	"yes"	""
"Coding with metabolites"	"3475940"	"0"	"0"	"0"	"0"	"3"	"9"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2.6.1.42"	"isoleucine"	"0.0456925013289037"	"0.96866951273982"	"0.0282780345282557"	"0.0292533765672374"	""	""	"yes"	""
"Coding with metabolites"	"3473446"	"0"	"1"	"0"	"1"	"2"	"4"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.2.1.21,1.2.1.22"	"lactic acid"	"-1.43345634497346"	"0.410024750014672"	"0.00196185971319482"	"0.011486019267248"	""	""	"yes"	""
"Coding with metabolites"	"3475772"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"1.1.2.3"	"lactic acid"	"-1.43345634497346"	"0.410024750014672"	"0.00196185971319482"	"0.011486019267248"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3474291"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.1.5.4,1.1.99.16"	"malic acid , malic acid"	"-0.559340751415306 , -0.559340751415306"	"0.601271781187417 , 0.601271781187417"	"0.000136182815874595 , 0.000136182815874595"	"0.000607322119928488 , 0.000607322119928488"	""	""	"yes"	""
"Coding with metabolites"	"3474305"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.8.3.-,2.8.3.6"	"malic acid , succinic acid"	"-0.559340751415306 , -0.755523820441955"	"0.601271781187417 , 0.449215044053545"	"0.000136182815874595 , 0.00245608974381594"	"0.000607322119928488 , 0.00378396524930842"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3474784"	"0"	"0"	"0"	"0"	"3"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.7.1.69,2.7.1.-"	"mannose-6-phosphate NIST , glyceric acid"	"-1.95699023422295 , -0.0789849138420592"	"0.390699466355439 , 0.948423668519921"	"0.0186695855359539 , 0.0464080896611698"	"0.0881757158809604 , 0.0303021322243173"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3476391"	"0"	"0"	"0"	"0"	"5"	"6"	"10"	"9"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2.7.1.69,2.7.1.-"	"mannose-6-phosphate NIST , glyceric acid"	"-1.95699023422295 , -0.0789849138420592"	"0.390699466355439 , 0.948423668519921"	"0.0186695855359539 , 0.0464080896611698"	"0.0881757158809604 , 0.0303021322243173"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3473132"	"4"	"3"	"4"	"5"	"4"	"3"	"4"	"5"	"0"	"0"	"0"	"0"	"4"	"3"	"5"	"5"	"3.5.2.3"	"N-carbamoylaspartate"	"-0.369375257289823"	"0.517632889291251"	"1.3320757294355e-05"	"0.00012187377883759"	""	""	"yes"	""
"Coding with metabolites"	"3475076"	"8"	"2"	"4"	"10"	"7"	"2"	"4"	"10"	"1"	"0"	"0"	"0"	"14"	"4"	"6"	"16"	"4.1.1.17"	"ornithine 3TMS minor"	"-0.536819815315001"	"0.569845113186573"	"0.00595166246655171"	"0.0240881083700688"	""	" , Sigma32"	"yes"	""
"Coding with metabolites"	"3476143"	"12"	"4"	"7"	"5"	"9"	"2"	"5"	"4"	"0"	"0"	"0"	"0"	"9"	"2"	"5"	"4"	"3.5.1.16"	"ornithine 3TMS minor"	"-0.536819815315001"	"0.569845113186573"	"0.00595166246655171"	"0.0240881083700688"	""	""	"yes"	""
"Coding with metabolites"	"3476462"	"11"	"15"	"7"	"9"	"6"	"10"	"7"	"9"	"0"	"0"	"0"	"0"	"6"	"11"	"7"	"9"	"2.1.3.3"	"ornithine 3TMS minor"	"-0.536819815315001"	"0.569845113186573"	"0.00595166246655171"	"0.0240881083700688"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3475806"	"8"	"3"	"4"	"3"	"8"	"3"	"4"	"3"	"0"	"0"	"0"	"0"	"8"	"3"	"4"	"3"	"2.4.2.10"	"orotic acid"	"-2.01315574519335"	"0.360043309845292"	"0.00237112333900265"	"0.0107628835268532"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3474453"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"5"	"2"	"2.8.3.16"	"oxalic acid"	"0.891893941826561"	"0.403059800172314"	"0.0169415958679612"	"0.0051504208188986"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3474102"	"0"	"0"	"0"	"0"	"8"	"6"	"8"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.6.1.9"	"phenylalanine"	"-0.535279635328074"	"0.625881772774989"	"0.0173696364830264"	"0.0235314451867926"	""	""	"yes"	""
"Coding with metabolites"	"3474699"	"1"	"0"	"1"	"0"	"3"	"3"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4.2.1.51,5.4.99.5"	"phenylalanine"	"-0.535279635328074"	"0.625881772774989"	"0.0173696364830264"	"0.0235314451867926"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3476128"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.11.1.6,1.11.1.7"	"phenylalanine"	"-0.535279635328074"	"0.625881772774989"	"0.0173696364830264"	"0.0235314451867926"	""	" , Sigma32"	"yes"	""
"Coding with metabolites"	"3474342"	"0"	"0"	"0"	"0"	"6"	"3"	"3"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.1.2.-,4.1.1.-"	"phosphoric acid , phenylpyruvic acid"	"-0.688589475140754 , 0.110040041291688"	"0.218766561334181 , 0.939626764393399"	"0.0101369418270666 , 0.0754680845790009"	"0.0166613353448738 , 0.0786687159941295"	""	""	"yes"	""
"Coding with metabolites"	"3476018"	"0"	"1"	"0"	"0"	"9"	"8"	"10"	"7"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"4.1.1.-"	"phenylpyruvic acid"	"0.110040041291688"	"0.939626764393399"	"0.0754680845790009"	"0.0786687159941295"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3474342"	"0"	"0"	"0"	"0"	"6"	"3"	"3"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.1.2.-,4.1.1.-"	"phosphoric acid , phenylpyruvic acid"	"-0.688589475140754 , 0.110040041291688"	"0.218766561334181 , 0.939626764393399"	"0.0101369418270666 , 0.0754680845790009"	"0.0166613353448738 , 0.0786687159941295"	""	""	"yes"	""
"Coding with metabolites"	"3472406"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1.5.1.2"	"proline"	"0.27500284262392"	"0.807992051812519"	"0.0181592886439549"	"0.0215615278884641"	""	""	"yes"	""
"Coding with metabolites"	"3473077"	"35"	"22"	"12"	"11"	"35"	"22"	"11"	"11"	"0"	"0"	"1"	"0"	"35"	"23"	"12"	"11"	"1.5.1.12,1.5.99.8"	"proline"	"0.27500284262392"	"0.807992051812519"	"0.0181592886439549"	"0.0215615278884641"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3476084"	"10"	"4"	"5"	"3"	"10"	"4"	"3"	"2"	"0"	"0"	"0"	"0"	"10"	"4"	"3"	"2"	"5.3.1.14"	"rhamnose 1"	"-0.360535579342433"	"0.409413806079573"	"0.00169926823306305"	"0.00106904493698293"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3474886"	"0"	"0"	"0"	"0"	"7"	"7"	"3"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"4.3.1.17,4.3.1.19"	"serine , serine"	"0.449554613586908 , 0.449554613586908"	"0.736993715019967 , 0.736993715019967"	"0.0559320075913761 , 0.0559320075913761"	"0.0657396773322957 , 0.0657396773322957"	""	" , Sigma32"	"yes"	""
"Coding with metabolites"	"3471957"	"0"	"0"	"0"	"0"	"3"	"2"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"4.2.3.1"	"threonine"	"-1.14914738741664"	"0.435472614953004"	"0.0139330484409913"	"0.0329947877500528"	""	" , Sigma70"	"yes"	""
"Coding with metabolites"	"3475783"	"8"	"0"	"4"	"15"	"8"	"0"	"4"	"15"	"0"	"0"	"0"	"0"	"8"	"0"	"4"	"15"	"1.1.1.103"	"threonine"	"-1.14914738741664"	"0.435472614953004"	"0.0139330484409913"	"0.0329947877500528"	""	" , Sigma24 , Sigma70"	"yes"	""
"Coding with metabolites"	"3472355"	"0"	"0"	"0"	"0"	"2"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"3.5.4.1"	"thymine"	"-1.04563736973463"	"0.38483432140318"	"0.0079053695021144"	"0.0288530413870197"	""	""	"yes"	""
"Upstream with metabolites"	"3473239"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.4.99.1"	"phenylpyruvic acid"	"0.110040041291688"	"0.939626764393399"	"0.0754680845790009"	"0.0786687159941295"	""	" , Sigma32"	"yes"	""
