types	vimss	upstream				nonsynonymous				synonymous				downstream				ecs	names	log2 ratio	p-value	SD test	SD ref	Max log2 ratio	TF binding sites	Sigma sites	Is mapped to ortholog	Fraction Missing
Upstream with metabolites	3475119	2	0	0	1	0	0	0	0	3	1	1	0	0	0	0	0	"3.5.1.78,6.3.1.8"	"glutathione , glutathione"	"-0.86102358685119 , -0.86102358685119"	"0.398209640847857 , 0.398209640847857"	"0.0273826844129481 , 0.0273826844129481"	"0.0486311964 , 0.0486311964"	0.86102359	0	0	yes	
Upstream with metabolites	3473797	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	"3.5.1.-,3.5.1.19"	"glutathione , nicotinamide"	"-0.86102358685119 , -0.58528125791222"	"0.398209640847857 , 0.442370218886287"	"0.0273826844129481 , 0.019124579435336"	"0.0486311964 , 0.0204846007"	0.86102359	0	0	yes	
Upstream with metabolites	3474434	1	0	0	0	0	0	0	0	18	8	10	19	0	0	0	0	"1.1.1.3,4.2.1.17,1.1.1.35,5.1.2.3"	homoserine	-0.35930943	0.631998787	0.009302841	0.012862726	-0.35930943	ArcA	"Sigma32,Sigma70"	yes	
Upstream with metabolites	3476201	0	0	2	0	0	0	0	0	4	2	4	2	0	0	1	1	2.3.1.46	homoserine	-0.35930943	0.631998787	0.009302841	0.012862726	-0.35930943	MetJ	0	yes	
Upstream with metabolites	3473446	0	1	0	1	0	0	0	0	2	4	4	3	0	0	0	0	"1.2.1.21,1.2.1.22"	lactic acid	-1.433456345	0.41002475	0.00196186	0.011486019	-1.43345634	ArcA	0	yes	
Upstream with metabolites	3474305	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	"2.8.3.-,2.8.3.6"	"malic acid , succinic acid"	"-0.559340751415306 , -0.755523820441955"	"0.601271781187417 , 0.449215044053545"	"0.000136182815874595 , 0.00245608974381594"	"0.0006073221 , 0.0037839652"	0.75552382	0	0	yes	
Upstream with metabolites	3476143	3	2	2	1	0	0	0	0	9	2	5	4	0	0	0	0	3.5.1.16	ornithine 3TMS minor	-0.536819815	0.569845113	0.005951662	0.024088108	-0.53681981	ArgR	0	yes	
Upstream with metabolites	3476462	5	5	0	0	0	0	0	0	6	10	7	9	0	1	0	0	2.1.3.3	ornithine 3TMS minor	-0.536819815	0.569845113	0.005951662	0.024088108	-0.53681981	ArgR	0	yes	
Upstream with metabolites	3474699	1	0	1	0	0	0	0	0	3	3	5	1	0	0	0	0	"4.2.1.51,5.4.99.5"	phenylalanine	-0.535279635	0.625881773	0.017369636	0.023531445	-0.53527963	0	0	yes	
Upstream with metabolites	3476084	0	0	2	1	0	0	0	0	10	4	3	2	0	0	0	0	5.3.1.14	rhamnose 1	-0.360535579	0.409413806	0.001699268	0.001069045	-0.36053558	CRP	Sigma38	yes	
